date,year,price,price_log,USD_balance_ETF_log,short_term_predicted_price_log,predicted_price,btc_premium_rate
2024-02-29,2024,61101.5,11.020291694776509,22.737608700630112,11.023421971708187,61293.06428414836,-0.003130276931678111
2024-03-01,2024,62296.5,11.039660523422121,22.718809332008384,11.039611622862187,62293.4537407506,4.890055993378439e-05
2024-03-02,2024,61799.0,11.031642462085092,22.718809332008384,11.039611622862187,62293.4537407506,-0.007969160777095752
2024-03-03,2024,62970.5,11.050421641740291,22.718809332008384,11.039611622862187,62293.4537407506,0.010810018878103733
2024-03-04,2024,67709.5,11.122981774018813,22.792518144237903,11.091840324567688,65633.42184706952,0.03114144945112507
2024-03-05,2024,62888.5,11.049118596084398,22.871206795050938,11.072770677694766,64393.67401550922,-0.02365208161036847
2024-03-06,2024,66151.5,11.099702845022973,22.90922722200392,11.072356192599283,64366.98932797106,0.027346652423689832
2024-03-07,2024,67129.5,11.11437886867029,22.960960346836345,11.12209788673262,67649.67887525601,-0.0077190180623301075
2024-03-08,2024,68183.5,11.129957879076573,22.98447669963275,11.13319578604426,68404.62963513017,-0.0032379069676871097
2024-03-09,2024,68225.5,11.130573674241512,22.98447669963275,11.13319578604426,68404.62963513017,-0.0026221118027471846
2024-03-10,2024,68670.5,11.137074982788157,22.98447669963275,11.13319578604426,68404.62963513017,0.0038791967438971398
2024-03-11,2024,72376.5,11.18963694004913,23.03581116173471,11.169194659368598,70911.97934345774,0.02044228068053222
2024-03-12,2024,70934.5,11.169512195014681,23.134265776377458,11.10155767705237,66274.31378525318,0.06795451796231156
2024-03-13,2024,72786.5,11.195285777428296,23.19380307276711,11.130426691832088,68215.47278855571,0.06485908559620768
2024-03-14,2024,71563.5,11.17834044643219,23.20495899566491,11.065330145777322,63916.328881777365,0.11301030065486728
2024-03-15,2024,68943.5,11.141042607566616,23.221442384232738,11.126532433412565,67950.34069082516,0.014510174154050759
2024-03-16,2024,66601.5,11.106482378797375,23.221442384232738,11.126532433412565,67950.34069082516,-0.02005005461519005
2024-03-17,2024,68506.5,11.134683910259445,23.221442384232738,11.126532433412565,67950.34069082516,0.008151476846880001
2024-03-18,2024,67497.5,11.119845839137696,23.208672361776063,11.10194133765056,66299.74550638742,0.01790450148713596
2024-03-19,2024,62848.5,11.04848234738514,23.181126690912215,11.024047348757554,61331.40754808603,0.024434998627585358
2024-03-20,2024,67430.5,11.118852716798274,23.158483168447045,11.115006090110283,67171.61826901583,0.0038466266879915167
2024-03-21,2024,65582.5,11.091064171050506,23.150216696250656,11.101989379473245,66302.93074351682,-0.010925208422738919
2024-03-22,2024,63091.5,11.052341332640946,23.14564971039531,11.059744239719665,63560.29358870449,-0.007402907078718712
